id,bpm,accuracy,time_ms,time_iso,synced
325,93.0,3,1783267955325,2026-07-05T23:12:35.325,1
326,93.0,3,1783267956327,2026-07-05T23:12:36.327,1
327,93.0,3,1783267957327,2026-07-05T23:12:37.327,1
328,93.0,3,1783267958328,2026-07-05T23:12:38.328,1
329,93.0,3,1783267959327,2026-07-05T23:12:39.327,1
330,93.0,3,1783267960327,2026-07-05T23:12:40.327,1
331,93.0,3,1783267961327,2026-07-05T23:12:41.327,1
332,92.0,3,1783267962328,2026-07-05T23:12:42.328,1
333,92.0,3,1783267963328,2026-07-05T23:12:43.328,1
334,92.0,3,1783267964328,2026-07-05T23:12:44.328,1
335,91.0,3,1783267965328,2026-07-05T23:12:45.328,1
336,91.0,3,1783267966328,2026-07-05T23:12:46.328,1
337,91.0,3,1783267967328,2026-07-05T23:12:47.328,1
338,92.0,3,1783267968328,2026-07-05T23:12:48.328,1
339,93.0,3,1783267969328,2026-07-05T23:12:49.328,1
340,94.0,3,1783267970328,2026-07-05T23:12:50.328,1
341,94.0,3,1783267971328,2026-07-05T23:12:51.328,1
342,94.0,3,1783267972327,2026-07-05T23:12:52.327,1
343,93.0,3,1783267973326,2026-07-05T23:12:53.326,1
344,93.0,3,1783267974325,2026-07-05T23:12:54.325,1
345,92.0,3,1783267975336,2026-07-05T23:12:55.336,1
346,92.0,3,1783267976333,2026-07-05T23:12:56.333,1
347,93.0,3,1783267977330,2026-07-05T23:12:57.330,1
348,93.0,3,1783267978335,2026-07-05T23:12:58.335,1
349,93.0,3,1783267979335,2026-07-05T23:12:59.335,1
350,93.0,3,1783267980332,2026-07-05T23:13:00.332,1
351,93.0,3,1783267981336,2026-07-05T23:13:01.336,1
352,93.0,3,1783267982337,2026-07-05T23:13:02.337,1
353,92.0,3,1783267983332,2026-07-05T23:13:03.332,1
354,91.0,3,1783267984334,2026-07-05T23:13:04.334,1
355,90.0,3,1783267985327,2026-07-05T23:13:05.327,1
356,90.0,3,1783267986330,2026-07-05T23:13:06.330,1
357,91.0,3,1783267987331,2026-07-05T23:13:07.331,1
358,92.0,3,1783267988333,2026-07-05T23:13:08.333,1
359,92.0,3,1783267989333,2026-07-05T23:13:09.333,1
360,91.0,3,1783267990325,2026-07-05T23:13:10.325,1
361,91.0,3,1783267991324,2026-07-05T23:13:11.324,1
362,92.0,3,1783267992337,2026-07-05T23:13:12.337,1
363,91.0,3,1783267993327,2026-07-05T23:13:13.327,1
364,91.0,3,1783267994328,2026-07-05T23:13:14.328,1
365,91.0,3,1783267995328,2026-07-05T23:13:15.328,1
366,91.0,3,1783267996328,2026-07-05T23:13:16.328,1
367,91.0,3,1783267997328,2026-07-05T23:13:17.328,1
368,91.0,3,1783267998327,2026-07-05T23:13:18.327,1
369,92.0,3,1783267999328,2026-07-05T23:13:19.328,1
370,92.0,3,1783268000329,2026-07-05T23:13:20.329,1
371,93.0,3,1783268001328,2026-07-05T23:13:21.328,1
372,93.0,3,1783268002328,2026-07-05T23:13:22.328,1
373,94.0,3,1783268003417,2026-07-05T23:13:23.417,1
374,95.0,3,1783268004326,2026-07-05T23:13:24.326,1
375,95.0,3,1783268005326,2026-07-05T23:13:25.326,1
376,94.0,3,1783268006326,2026-07-05T23:13:26.326,1
377,94.0,3,1783268007324,2026-07-05T23:13:27.324,1
378,94.0,3,1783268008324,2026-07-05T23:13:28.324,1
379,93.0,3,1783268009326,2026-07-05T23:13:29.326,1
380,92.0,3,1783268010324,2026-07-05T23:13:30.324,1
381,91.0,3,1783268011327,2026-07-05T23:13:31.327,1
382,90.0,3,1783268012327,2026-07-05T23:13:32.327,1
383,90.0,3,1783268013325,2026-07-05T23:13:33.325,1
384,89.0,3,1783268014328,2026-07-05T23:13:34.328,1
385,89.0,3,1783268015328,2026-07-05T23:13:35.328,1
386,89.0,3,1783268016324,2026-07-05T23:13:36.324,1
387,90.0,3,1783268017327,2026-07-05T23:13:37.327,1
388,89.0,3,1783268018325,2026-07-05T23:13:38.325,1
389,88.0,3,1783268019336,2026-07-05T23:13:39.336,1
390,87.0,3,1783268020334,2026-07-05T23:13:40.334,1
391,86.0,3,1783268021336,2026-07-05T23:13:41.336,1
392,85.0,3,1783268022337,2026-07-05T23:13:42.337,1
393,84.0,3,1783268023327,2026-07-05T23:13:43.327,1
394,84.0,3,1783268024330,2026-07-05T23:13:44.330,1
395,84.0,3,1783268025326,2026-07-05T23:13:45.326,1
396,84.0,3,1783268026330,2026-07-05T23:13:46.330,1
397,85.0,3,1783268027325,2026-07-05T23:13:47.325,1
398,86.0,3,1783268028324,2026-07-05T23:13:48.324,1
399,86.0,3,1783268029325,2026-07-05T23:13:49.325,1
400,86.0,3,1783268030325,2026-07-05T23:13:50.325,1
